<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2024.06.03	09:00:00	122860	122920	122570	122590	71205	201066	5
2024.06.03	09:03:00	122590	122605	122455	122530	51005	145295	5
2024.06.03	09:06:00	122530	122580	122500	122535	25280	80466	5
2024.06.03	09:09:00	122540	122540	122325	122350	45171	153064	5
2024.06.03	09:12:00	122345	122390	122325	122360	28946	97312	5
2024.06.03	09:15:00	122360	122400	122330	122355	23938	79146	5
2024.06.03	09:18:00	122360	122400	122290	122395	39177	130275	5
2024.06.03	09:21:00	122395	122440	122335	122370	32083	100172	5
2024.06.03	09:24:00	122370	122450	122345	122440	24907	79571	5
2024.06.03	09:27:00	122440	122595	122430	122580	48417	168000	5
2024.06.03	09:30:00	122575	122590	122515	122545	29330	92526	5
2024.06.03	09:33:00	122550	122610	122495	122575	37405	129003	5
2024.06.03	09:36:00	122575	122585	122525	122580	14998	49055	5
2024.06.03	09:39:00	122580	122605	122540	122565	16485	56818	5
2024.06.03	09:42:00	122565	122590	122470	122520	32466	110741	5
2024.06.03	09:45:00	122515	122545	122405	122440	46148	149381	5
2024.06.03	09:48:00	122435	122545	122430	122490	31311	98412	5
2024.06.03	09:51:00	122490	122560	122480	122555	21051	65785	5
2024.06.03	09:54:00	122555	122605	122535	122595	28909	95143	5
2024.06.03	09:57:00	122590	122675	122570	122630	27883	90980	5
2024.06.03	10:00:00	122630	122640	122485	122490	39655	134835	5
2024.06.03	10:03:00	122490	122570	122465	122555	32186	112900	5
2024.06.03	10:06:00	122555	122615	122450	122490	46523	167949	5
2024.06.03	10:09:00	122490	122575	122385	122410	52479	192380	5
2024.06.03	10:12:00	122415	122465	122275	122340	61058	214921	5
2024.06.03	10:15:00	122340	122450	122325	122420	48168	177770	5
2024.06.03	10:18:00	122420	122455	122340	122350	27549	96015	5
2024.06.03	10:21:00	122355	122355	122180	122230	65942	237764	5
2024.06.03	10:24:00	122225	122345	122185	122285	42890	148138	5
2024.06.03	10:27:00	122290	122345	122255	122270	26868	92414	5
2024.06.03	10:30:00	122265	122330	122140	122195	72271	264178	5
2024.06.03	10:33:00	122200	122290	122155	122235	43183	152309	5
2024.06.03	10:36:00	122235	122280	122105	122130	48718	171977	5
2024.06.03	10:39:00	122130	122205	122105	122145	31593	115434	5
2024.06.03	10:42:00	122140	122210	122115	122170	24796	100808	5
2024.06.03	10:45:00	122175	122180	121990	122025	48812	192659	5
2024.06.03	10:48:00	122020	122030	121905	121925	39761	146266	5
2024.06.03	10:51:00	121925	121950	121835	121935	52041	203938	5
2024.06.03	10:54:00	121935	121945	121860	121885	22469	95087	5
2024.06.03	10:57:00	121880	121920	121860	121910	13473	54109	5
2024.06.03	11:00:00	121905	122185	121730	121855	117541	448535	5
2024.06.03	11:03:00	121860	121990	121795	121960	49488	180468	5
2024.06.03	11:06:00	121960	122090	121940	122005	45479	167937	5
2024.06.03	11:09:00	122005	122145	121970	122140	49160	179762	5
2024.06.03	11:12:00	122140	122165	122055	122085	35606	126925	5
2024.06.03	11:15:00	122080	122225	122070	122140	48537	175803	5
2024.06.03	11:18:00	122140	122365	122115	122230	68016	262722	5
2024.06.03	11:21:00	122235	122435	122195	122395	50165	178714	5
2024.06.03	11:24:00	122400	122480	122280	122430	60930	220831	5
2024.06.03	11:27:00	122430	122580	122405	122565	47426	188695	5
2024.06.03	11:30:00	122565	122605	122505	122565	40573	163445	5
2024.06.03	11:33:00	122560	122600	122505	122530	27076	107248	5
2024.06.03	11:36:00	122525	122645	122525	122565	40451	156477	5
2024.06.03	11:39:00	122570	122650	122545	122625	25576	98124	5
2024.06.03	11:42:00	122620	122775	122575	122775	41340	162670	5
2024.06.03	11:45:00	122775	122790	122655	122655	41651	161861	5
2024.06.03	11:48:00	122655	122675	122570	122655	36807	138876	5
2024.06.03	11:51:00	122650	122680	122460	122515	47053	185752	5
2024.06.03	11:54:00	122515	122605	122505	122560	27228	104848	5
2024.06.03	11:57:00	122560	122570	122460	122545	25222	101544	5
2024.06.03	12:00:00	122550	122585	122515	122545	19027	71037	5
2024.06.03	12:03:00	122545	122635	122520	122535	25347	91177	5
2024.06.03	12:06:00	122535	122655	122535	122600	23199	87945	5
2024.06.03	12:09:00	122605	122620	122525	122540	16678	61542	5
2024.06.03	12:12:00	122545	122605	122530	122590	14606	52023	5
2024.06.03	12:15:00	122595	122645	122575	122600	14628	49179	5
2024.06.03	12:18:00	122605	122735	122595	122690	26288	97395	5
2024.06.03	12:21:00	122690	122700	122620	122645	18695	65858	5
2024.06.03	12:24:00	122645	122660	122495	122500	25587	93563	5
2024.06.03	12:27:00	122495	122505	122405	122415	26691	102923	5
2024.06.03	12:30:00	122415	122440	122325	122375	31352	118634	5
2024.06.03	12:33:00	122375	122380	122290	122345	24690	99708	5
2024.06.03	12:36:00	122345	122430	122345	122380	20235	79144	5
2024.06.03	12:39:00	122375	122415	122300	122375	20704	81354	5
2024.06.03	12:42:00	122370	122395	122340	122360	11565	45196	5
2024.06.03	12:45:00	122360	122385	122275	122275	17399	66488	5
2024.06.03	12:48:00	122275	122330	122255	122310	21843	83841	5
2024.06.03	12:51:00	122315	122375	122300	122355	13695	53180	5
